week,id,name,category,description,typical_week,early_range_start,early_range_end,normal_range_start,normal_range_end,late_start_week,red_flag_week,early_parent_copy,normal_parent_copy,late_parent_copy,red_flag_parent_copy,early_badge_name,early_badge_copy,normal_badge_name,normal_badge_copy
1,wk1_recognises_your_voice,Recognises your voice,social_emotional,"Baby is soothed by your voice and smell, beginning early bonding.",1,0,0,1,9,10,17,"Your baby is showing social-emotional milestone 'Recognises your voice' a bit early, which can be perfectly normal. Enjoy the connection and keep following their lead.","'Recognises your voice' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Social milestones like 'Recognises your voice' can vary. Offer face-to-face time, gentle play, and predictable routines to help your baby feel secure.","If you rarely see 'Recognises your voice' and your baby seems very hard to engage or comfort, it’s worth discussing this with your pediatrician.",Milestone Ahead,'Recognises your voice' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Recognises your voice' has been reached—lovely progress. Take a second to celebrate this stage.
2,wk2_briefly_tracks_faces,Briefly tracks faces,cognitive,Baby can briefly follow your face or a high-contrast object with their eyes.,2,0,1,2,10,11,18,"Your baby reached 'Briefly tracks faces' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Briefly tracks faces' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Briefly tracks faces'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Briefly tracks faces' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",,,,
3,wk3_snuggles_into_your_body,Snuggles into your body,social_emotional,"Baby adjusts posture and moulds into you when held, showing comfort.",3,0,2,3,11,12,19,"Your baby is showing social-emotional milestone 'Snuggles into your body' a bit early, which can be perfectly normal. Enjoy the connection and keep following their lead.","'Snuggles into your body' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Social milestones like 'Snuggles into your body' can vary. Offer face-to-face time, gentle play, and predictable routines to help your baby feel secure.","If you rarely see 'Snuggles into your body' and your baby seems very hard to engage or comfort, it’s worth discussing this with your pediatrician.",Milestone Ahead,'Snuggles into your body' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Snuggles into your body' has been reached—lovely progress. Take a second to celebrate this stage.
4,wk4_first_cooing_sounds,First cooing sounds,language,Baby makes soft coo or 'ahh' sounds beyond just crying.,4,1,3,4,12,13,20,"Your baby reached 'First cooing sounds' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'First cooing sounds' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Communication skills like 'First cooing sounds' can come a bit later for some babies. Talk, sing, name objects, and read out loud every day to support language.","If you don’t see signs of 'First cooing sounds' and your baby also makes few sounds or responses, please bring this up with your pediatrician.",Milestone Ahead,'First cooing sounds' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'First cooing sounds' has been reached—lovely progress. Take a second to celebrate this stage.
4,wk4_responds_to_your_smile,Responds to your smile,social_emotional,Baby may brighten or move more when you smile at them.,4,1,3,4,12,13,20,"Your baby is showing social-emotional milestone 'Responds to your smile' a bit early, which can be perfectly normal. Enjoy the connection and keep following their lead.","'Responds to your smile' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Social milestones like 'Responds to your smile' can vary. Offer face-to-face time, gentle play, and predictable routines to help your baby feel secure.","If you rarely see 'Responds to your smile' and your baby seems very hard to engage or comfort, it’s worth discussing this with your pediatrician.",Milestone Ahead,'Responds to your smile' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Responds to your smile' has been reached—lovely progress. Take a second to celebrate this stage.
5,wk5_smoother_arm_and_leg_movements,Smoother arm and leg movements,gross_motor,Flailing becomes a bit more controlled; movements look smoother.,5,2,4,5,13,14,21,"Your baby reached 'Smoother arm and leg movements' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Smoother arm and leg movements' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Gross motor skills like 'Smoother arm and leg movements' can vary a lot. Encourage floor time, safe movement, and exploration. If you stay concerned, talk with your pediatrician.","If your baby still hasn’t reached 'Smoother arm and leg movements' and you’re worried about strength or movement, it’s a good idea to speak with your pediatrician for guidance.",Milestone Ahead,'Smoother arm and leg movements' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Smoother arm and leg movements' has been reached—lovely progress. Take a second to celebrate this stage.
6,wk6_social_smile,Social smile,social_emotional,"Baby smiles in response to your face, voice, or interaction.",6,3,5,6,14,15,22,"Your baby is showing social-emotional milestone 'Social smile' a bit early, which can be perfectly normal. Enjoy the connection and keep following their lead.","'Social smile' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Social milestones like 'Social smile' can vary. Offer face-to-face time, gentle play, and predictable routines to help your baby feel secure.","If you rarely see 'Social smile' and your baby seems very hard to engage or comfort, it’s worth discussing this with your pediatrician.",Early Smiler,Those early smiles are pure magic. Your baby is loving the connection.,Milestone Reached,'Social smile' has been reached—lovely progress. Take a second to celebrate this stage.
6,wk6_looks_at_you_during_feeds,Looks at you during feeds,social_emotional,Baby makes more eye contact while feeding or being held.,6,3,5,6,14,15,22,"Your baby is showing social-emotional milestone 'Looks at you during feeds' a bit early, which can be perfectly normal. Enjoy the connection and keep following their lead.","'Looks at you during feeds' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Social milestones like 'Looks at you during feeds' can vary. Offer face-to-face time, gentle play, and predictable routines to help your baby feel secure.","If you rarely see 'Looks at you during feeds' and your baby seems very hard to engage or comfort, it’s worth discussing this with your pediatrician.",Milestone Ahead,'Looks at you during feeds' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Looks at you during feeds' has been reached—lovely progress. Take a second to celebrate this stage.
7,wk7_watches_and_listens_together,Watches and listens together,cognitive,"Baby links your face and voice, staring at your mouth and eyes.",7,4,6,7,15,16,23,"Your baby reached 'Watches and listens together' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Watches and listens together' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Watches and listens together'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Watches and listens together' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",,,,
8,wk8_lifts_head_during_tummy_time,Lifts head during tummy time,gross_motor,Baby lifts head and upper chest briefly when on tummy.,8,5,7,8,16,17,24,"Your baby reached 'Lifts head during tummy time' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Lifts head during tummy time' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Gross motor skills like 'Lifts head during tummy time' can vary a lot. Encourage floor time, safe movement, and exploration. If you stay concerned, talk with your pediatrician.","If your baby still hasn’t reached 'Lifts head during tummy time' and you’re worried about strength or movement, it’s a good idea to speak with your pediatrician for guidance.",Milestone Ahead,'Lifts head during tummy time' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Lifts head during tummy time' has been reached—lovely progress. Take a second to celebrate this stage.
8,wk8_holds_gaze_on_a_toy,Holds gaze on a toy,cognitive,Baby can keep eyes on a toy or face a little longer.,8,5,7,8,16,17,24,"Your baby reached 'Holds gaze on a toy' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Holds gaze on a toy' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Holds gaze on a toy'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Holds gaze on a toy' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",,,,
9,wk9_more_cooing_and_vowel_sounds,More cooing and vowel sounds,language,Baby coos more often and may vary pitch and volume.,9,6,8,9,17,18,25,"Your baby reached 'More cooing and vowel sounds' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'More cooing and vowel sounds' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Communication skills like 'More cooing and vowel sounds' can come a bit later for some babies. Talk, sing, name objects, and read out loud every day to support language.","If you don’t see signs of 'More cooing and vowel sounds' and your baby also makes few sounds or responses, please bring this up with your pediatrician.",Milestone Ahead,'More cooing and vowel sounds' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'More cooing and vowel sounds' has been reached—lovely progress. Take a second to celebrate this stage.
10,wk10_recognises_familiar_faces,Recognises familiar faces,social_emotional,Baby shows excitement when seeing primary caregivers.,10,7,9,10,18,19,26,"Your baby is showing social-emotional milestone 'Recognises familiar faces' a bit early, which can be perfectly normal. Enjoy the connection and keep following their lead.","'Recognises familiar faces' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Social milestones like 'Recognises familiar faces' can vary. Offer face-to-face time, gentle play, and predictable routines to help your baby feel secure.","If you rarely see 'Recognises familiar faces' and your baby seems very hard to engage or comfort, it’s worth discussing this with your pediatrician.",Milestone Ahead,'Recognises familiar faces' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Recognises familiar faces' has been reached—lovely progress. Take a second to celebrate this stage.
11,wk11_looks_away_when_overstimulated,Looks away when overstimulated,regulation,Baby turns head or looks away when they’ve had enough interaction.,11,8,10,11,19,20,27,"Your baby reached 'Looks away when overstimulated' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Looks away when overstimulated' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Looks away when overstimulated'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Looks away when overstimulated' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",,,,
12,wk12_discovers_hands,Discovers hands,fine_motor,Baby watches hands and brings them together or to the mouth.,12,9,11,12,20,21,28,"Your baby reached 'Discovers hands' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Discovers hands' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Discovers hands'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Discovers hands' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",Hand Explorer,Your baby is discovering their hands early—so much to grab and feel.,Milestone Reached,'Discovers hands' has been reached—lovely progress. Take a second to celebrate this stage.
12,wk12_brings_hands_to_midline,Brings hands to midline,gross_motor,Baby can bring both hands together in front of their body.,12,9,11,12,20,21,28,"Your baby reached 'Brings hands to midline' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Brings hands to midline' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Gross motor skills like 'Brings hands to midline' can vary a lot. Encourage floor time, safe movement, and exploration. If you stay concerned, talk with your pediatrician.","If your baby still hasn’t reached 'Brings hands to midline' and you’re worried about strength or movement, it’s a good idea to speak with your pediatrician for guidance.",Milestone Ahead,'Brings hands to midline' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Brings hands to midline' has been reached—lovely progress. Take a second to celebrate this stage.
13,wk13_laughs_out_loud,Laughs out loud,social_emotional,Baby giggles or laughs in response to play.,13,10,12,13,21,22,29,"Your baby is showing social-emotional milestone 'Laughs out loud' a bit early, which can be perfectly normal. Enjoy the connection and keep following their lead.","'Laughs out loud' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Social milestones like 'Laughs out loud' can vary. Offer face-to-face time, gentle play, and predictable routines to help your baby feel secure.","If you rarely see 'Laughs out loud' and your baby seems very hard to engage or comfort, it’s worth discussing this with your pediatrician.",Giggle Starter,First laughs came early—your baby clearly loves your sense of humour.,Milestone Reached,'Laughs out loud' has been reached—lovely progress. Take a second to celebrate this stage.
14,wk14_bats_at_toys,Bats at toys,fine_motor,Baby swipes or bats at dangling toys with hands.,14,11,13,14,22,23,30,"Your baby reached 'Bats at toys' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Bats at toys' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Bats at toys'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Bats at toys' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",Milestone Ahead,'Bats at toys' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Bats at toys' has been reached—lovely progress. Take a second to celebrate this stage.
15,wk15_rolls_over_one_direction,Rolls over (one direction),gross_motor,Baby may roll from tummy to back or back to tummy.,15,10,14,15,24,25,28,"Your baby reached 'Rolls over (one direction)' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Rolls over (one direction)' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Gross motor skills like 'Rolls over (one direction)' can vary a lot. Encourage floor time, safe movement, and exploration. If you stay concerned, talk with your pediatrician.","If your baby still hasn’t reached 'Rolls over (one direction)' and you’re worried about strength or movement, it’s a good idea to speak with your pediatrician for guidance.",Early Roller,Your baby rolled earlier than most—time to double-check those changing tables and sofas!,Milestone Reached,'Rolls over (one direction)' has been reached—lovely progress. Take a second to celebrate this stage.
15,wk15_grabs_toys_with_both_hands,Grabs toys with both hands,fine_motor,Baby can hold a toy with both hands briefly.,15,12,14,15,23,24,31,"Your baby reached 'Grabs toys with both hands' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Grabs toys with both hands' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Grabs toys with both hands'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Grabs toys with both hands' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",Milestone Ahead,'Grabs toys with both hands' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Grabs toys with both hands' has been reached—lovely progress. Take a second to celebrate this stage.
16,wk16_holds_head_steady_when_supported,Holds head steady when supported,gross_motor,Baby holds head more steadily when held upright or sitting with support.,16,13,15,16,24,25,32,"Your baby reached 'Holds head steady when supported' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Holds head steady when supported' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Gross motor skills like 'Holds head steady when supported' can vary a lot. Encourage floor time, safe movement, and exploration. If you stay concerned, talk with your pediatrician.","If your baby still hasn’t reached 'Holds head steady when supported' and you’re worried about strength or movement, it’s a good idea to speak with your pediatrician for guidance.",Milestone Ahead,'Holds head steady when supported' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Holds head steady when supported' has been reached—lovely progress. Take a second to celebrate this stage.
17,wk17_blows_raspberries,Blows raspberries,language,Baby makes razzing or raspberry sounds with lips and tongue.,17,14,16,17,25,26,33,"Your baby reached 'Blows raspberries' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Blows raspberries' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Communication skills like 'Blows raspberries' can come a bit later for some babies. Talk, sing, name objects, and read out loud every day to support language.","If you don’t see signs of 'Blows raspberries' and your baby also makes few sounds or responses, please bring this up with your pediatrician.",Milestone Ahead,'Blows raspberries' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Blows raspberries' has been reached—lovely progress. Take a second to celebrate this stage.
18,wk18_engages_in_short_solo_play,Engages in short solo play,cognitive,Baby can stay briefly engaged with a toy on their own.,18,15,17,18,26,27,34,"Your baby reached 'Engages in short solo play' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Engages in short solo play' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Engages in short solo play'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Engages in short solo play' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",,,,
19,wk19_babbles_consonant_vowel_sounds,Babbles consonant-vowel sounds,language,"Baby strings sounds like 'baba', 'gaga', 'dada' (no meaning yet).",19,16,18,19,27,28,35,"Your baby reached 'Babbles consonant-vowel sounds' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Babbles consonant-vowel sounds' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Communication skills like 'Babbles consonant-vowel sounds' can come a bit later for some babies. Talk, sing, name objects, and read out loud every day to support language.","If you don’t see signs of 'Babbles consonant-vowel sounds' and your baby also makes few sounds or responses, please bring this up with your pediatrician.",Milestone Ahead,'Babbles consonant-vowel sounds' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Babbles consonant-vowel sounds' has been reached—lovely progress. Take a second to celebrate this stage.
19,wk19_shows_excitement_when_you_appear,Shows excitement when you appear,social_emotional,"Baby kicks, waves arms or squeals when they see you.",19,16,18,19,27,28,35,"Your baby is showing social-emotional milestone 'Shows excitement when you appear' a bit early, which can be perfectly normal. Enjoy the connection and keep following their lead.","'Shows excitement when you appear' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Social milestones like 'Shows excitement when you appear' can vary. Offer face-to-face time, gentle play, and predictable routines to help your baby feel secure.","If you rarely see 'Shows excitement when you appear' and your baby seems very hard to engage or comfort, it’s worth discussing this with your pediatrician.",Milestone Ahead,'Shows excitement when you appear' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Shows excitement when you appear' has been reached—lovely progress. Take a second to celebrate this stage.
20,wk20_enjoys_mirror_and_own_reflection,Enjoys mirror and own reflection,social_emotional,Baby smiles or reacts to their reflection in the mirror.,20,17,19,20,28,29,36,"Your baby is showing social-emotional milestone 'Enjoys mirror and own reflection' a bit early, which can be perfectly normal. Enjoy the connection and keep following their lead.","'Enjoys mirror and own reflection' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Social milestones like 'Enjoys mirror and own reflection' can vary. Offer face-to-face time, gentle play, and predictable routines to help your baby feel secure.","If you rarely see 'Enjoys mirror and own reflection' and your baby seems very hard to engage or comfort, it’s worth discussing this with your pediatrician.",Milestone Ahead,'Enjoys mirror and own reflection' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Enjoys mirror and own reflection' has been reached—lovely progress. Take a second to celebrate this stage.
21,wk21_scoots_or_shuffles_on_tummy,Scoots or shuffles on tummy,gross_motor,Baby may push backwards or sideways to move on the floor.,21,18,20,21,29,30,37,"Your baby reached 'Scoots or shuffles on tummy' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Scoots or shuffles on tummy' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Gross motor skills like 'Scoots or shuffles on tummy' can vary a lot. Encourage floor time, safe movement, and exploration. If you stay concerned, talk with your pediatrician.","If your baby still hasn’t reached 'Scoots or shuffles on tummy' and you’re worried about strength or movement, it’s a good idea to speak with your pediatrician for guidance.",Milestone Ahead,'Scoots or shuffles on tummy' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Scoots or shuffles on tummy' has been reached—lovely progress. Take a second to celebrate this stage.
22,wk22_grabs_and_mouths_toys,Grabs and mouths toys,fine_motor,Baby grasps toys and explores them with the mouth.,22,19,21,22,30,31,38,"Your baby reached 'Grabs and mouths toys' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Grabs and mouths toys' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Grabs and mouths toys'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Grabs and mouths toys' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",Milestone Ahead,'Grabs and mouths toys' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Grabs and mouths toys' has been reached—lovely progress. Take a second to celebrate this stage.
23,wk23_bounces_with_support,Bounces with support,gross_motor,Baby enjoys standing with support and bouncing.,23,20,22,23,31,32,39,"Your baby reached 'Bounces with support' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Bounces with support' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Gross motor skills like 'Bounces with support' can vary a lot. Encourage floor time, safe movement, and exploration. If you stay concerned, talk with your pediatrician.","If your baby still hasn’t reached 'Bounces with support' and you’re worried about strength or movement, it’s a good idea to speak with your pediatrician for guidance.",Milestone Ahead,'Bounces with support' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Bounces with support' has been reached—lovely progress. Take a second to celebrate this stage.
24,wk24_responds_to_name_and_no,Responds to name and 'no',language,Baby turns to their name and may react to 'no' or familiar words.,24,21,23,24,32,33,40,"Your baby reached 'Responds to name and 'no'' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Responds to name and 'no'' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Communication skills like 'Responds to name and 'no'' can come a bit later for some babies. Talk, sing, name objects, and read out loud every day to support language.","If you don’t see signs of 'Responds to name and 'no'' and your baby also makes few sounds or responses, please bring this up with your pediatrician.",Milestone Ahead,'Responds to name and 'no'' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Responds to name and 'no'' has been reached—lovely progress. Take a second to celebrate this stage.
24,wk24_transfers_toys_between_hands,Transfers toys between hands,fine_motor,Baby moves a toy from one hand to the other.,24,21,23,24,32,33,40,"Your baby reached 'Transfers toys between hands' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Transfers toys between hands' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Transfers toys between hands'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Transfers toys between hands' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",Milestone Ahead,'Transfers toys between hands' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Transfers toys between hands' has been reached—lovely progress. Take a second to celebrate this stage.
25,wk25_sits_with_minimal_support,Sits with minimal support,gross_motor,Baby sits with support from hands or a pillow behind.,25,22,24,25,33,34,41,"Your baby reached 'Sits with minimal support' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Sits with minimal support' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Gross motor skills like 'Sits with minimal support' can vary a lot. Encourage floor time, safe movement, and exploration. If you stay concerned, talk with your pediatrician.","If your baby still hasn’t reached 'Sits with minimal support' and you’re worried about strength or movement, it’s a good idea to speak with your pediatrician for guidance.",Milestone Ahead,'Sits with minimal support' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Sits with minimal support' has been reached—lovely progress. Take a second to celebrate this stage.
26,wk26_shows_stranger_anxiety,Shows stranger anxiety,social_emotional,Baby may cling to familiar adults and be wary of strangers.,26,23,25,26,34,35,42,"Your baby is showing social-emotional milestone 'Shows stranger anxiety' a bit early, which can be perfectly normal. Enjoy the connection and keep following their lead.","'Shows stranger anxiety' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Social milestones like 'Shows stranger anxiety' can vary. Offer face-to-face time, gentle play, and predictable routines to help your baby feel secure.","If you rarely see 'Shows stranger anxiety' and your baby seems very hard to engage or comfort, it’s worth discussing this with your pediatrician.",Milestone Ahead,'Shows stranger anxiety' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Shows stranger anxiety' has been reached—lovely progress. Take a second to celebrate this stage.
